replication_id,market_id,upstream_id,downstream_id,Z_u1,Z_u2,Z_d1,Z_d2,Z_match1,Z_match2,W_ij,matched
16,1,1,1,0.506042817,-1.282512201,-0.639341972,-0.71098609,1.109066807,1.768619412,-1.70746834,0
16,1,1,2,0.506042817,-1.282512201,0.608689847,1.522106533,-0.104515589,-0.675863308,-1.064923024,0
16,1,1,3,0.506042817,-1.282512201,-0.883748642,0.287672565,0.549486084,-1.54190546,2.185452336,0
16,1,1,4,0.506042817,-1.282512201,-0.575101576,-1.509018923,0.685620397,1.746159062,-0.485746999,0
16,1,1,5,0.506042817,-1.282512201,0.067610091,-1.099576756,-0.633956834,-1.982923029,5.515647335,0
16,1,1,6,0.506042817,-1.282512201,-0.163847029,-0.766731787,-0.300638296,-1.509956494,4.028461777,0
16,1,1,7,0.506042817,-1.282512201,-0.07665174,0.198281325,-0.137766936,-0.33409189,0.071391391,0
16,1,1,8,0.506042817,-1.282512201,0.022892135,-1.961732408,-0.033755248,0.637924605,2.487482968,0
16,1,1,9,0.506042817,-1.282512201,-0.171105083,-2.20336782,1.516003248,0.459337555,4.662924311,1
16,1,1,10,0.506042817,-1.282512201,-1.864075864,-1.184429199,0.504467489,0.69333172,-0.490233005,0
16,1,2,1,-1.296027604,-0.227925754,-0.639341972,-0.71098609,-0.187979793,0.353924525,1.004458906,0
16,1,2,2,-1.296027604,-0.227925754,0.608689847,1.522106533,-1.482476804,-1.011826781,-1.556971847,0
16,1,2,3,-1.296027604,-0.227925754,-0.883748642,0.287672565,0.414047473,-0.180995687,2.968412138,1
16,1,2,4,-1.296027604,-0.227925754,-0.575101576,-1.509018923,0.834595849,0.344775943,2.15165541,0
16,1,2,5,-1.296027604,-0.227925754,0.067610091,-1.099576756,0.122537213,0.729310665,-1.135400412,0
16,1,2,6,-1.296027604,-0.227925754,-0.163847029,-0.766731787,-3.117146038,0.360557763,-3.151424138,0
16,1,2,7,-1.296027604,-0.227925754,-0.07665174,0.198281325,0.105669837,-0.19468505,0.625935349,0
